id,country_id/id,name,zipcode,state_id/id,code
city_ba_75350,base.ba,Srebrenik,75350,l10n_bs.state_ba_k_tz
city_ba_71385,base.ba,Srednje (FBiH),71385,l10n_bs.state_ba_k_sa
city_ba_72251,base.ba,Stari Vitez,72251,l10n_bs.state_ba_k_sb,100
city_ba_75324,base.ba,Stjepan Polje,75324,l10n_bs.state_ba_ef
city_ba_88360,base.ba,Stolac,88360,l10n_bs.state_ba_ef
city_ba_72209,base.ba,Stranjani,72209,l10n_bs.state_ba_k_ze
city_ba_75283,base.ba,Stupari,75283,l10n_bs.state_ba_k_tz
city_ba_76230,base.ba,Šamac,76230,l10n_bs.state_ba_er
city_ba_75450,base.ba,Šekovići,75450,l10n_bs.state_ba_er
city_ba_75275,base.ba,Šerići,75275,l10n_bs.state_ba_ef
city_ba_70270,base.ba,Šipovo,70270,l10n_bs.state_ba_er
city_ba_88220,base.ba,Široki Brijeg,88220,l10n_bs.state_ba_ef
city_ba_75356,base.ba,Špionica,75356,l10n_bs.state_ba_ef
city_ba_80249,base.ba,Šujica,80249,l10n_bs.state_ba_k_ze
city_ba_71244,base.ba,Tarčin,71244,l10n_bs.state_ba_k_sa
city_ba_75414,base.ba,Teočak,75414,l10n_bs.state_ba_ef
city_ba_74270,base.ba,Teslić,74270,l10n_bs.state_ba_er
city_ba_74260,base.ba,Tešanj,74260,l10n_bs.state_ba_k_ze,090
city_ba_74266,base.ba,Tešanjka,74266,l10n_bs.state_ba_k_ze
city_ba_73311,base.ba,Tjentište,73311,l10n_bs.state_ba_er
city_ba_80240,base.ba,Tomislavgrad,80240,l10n_bs.state_ba_ef
city_ba_72213,base.ba,Topčić Polje,72213,l10n_bs.state_ba_k_ze
city_ba_72270,base.ba,Travnik,72270,l10n_bs.state_ba_k_sb
city_ba_89101,base.ba,Trebinje,89101,l10n_bs.state_ba_er
city_ba_72283,base.ba,Turbe,72283,l10n_bs.state_ba_ef
city_ba_76330,base.ba,Ugljevik,76330,l10n_bs.state_ba_er
city_ba_70280,base.ba,Uskoplje,70280,l10n_bs.state_ba_ef
city_ba_73250,base.ba,Ustikolina,73250,l10n_bs.state_ba_ef
city_ba_88444,base.ba,Uzdol,88444,l10n_bs.state_ba_ef
city_ba_71330,base.ba,Vareš,71330,l10n_bs.state_ba_k_ze,096
city_ba_77230,base.ba,Velika Kladuša,77230,l10n_bs.state_ba_k_usk
city_ba_70202,base.ba,Vinac,70202,l10n_bs.state_ba_ef
city_ba_71300,base.ba,Visoko,71300,l10n_bs.state_ba_k_ze,098
city_ba_73240,base.ba,Višegrad,73240,l10n_bs.state_ba_er
city_ba_72250,base.ba,Vitez,72250,l10n_bs.state_ba_k_sb,100
city_ba_73205,base.ba,Vitkovići,73205,l10n_bs.state_ba_k_bp
city_ba_75440,base.ba,Vlasenica,75440,l10n_bs.state_ba_er
city_ba_71320,base.ba,Vogošća,71320,l10n_bs.state_ba_k_sa
city_ba_72227,base.ba,Vozuća,72227,l10n_bs.state_ba_k_ze
city_ba_88113,base.ba,Vrapčići,88113,l10n_bs.state_ba_k_hn
city_ba_74470,base.ba,Vukosavlje,74470,l10n_bs.state_ba_er
city_ba_76333,base.ba,Zabrđe,76333,l10n_bs.state_ba_er
city_ba_78214,base.ba,Zalužani,78214,l10n_bs.state_ba_er
city_ba_72220,base.ba,Zavidovići,72220,l10n_bs.state_ba_k_ze,102
city_ba_75400,base.ba,Zvornik,75400,l10n_bs.state_ba_er
city_ba_72236,base.ba,Željezno Polje,72236,l10n_bs.state_ba_k_ze
city_ba_72230,base.ba,Žepče,72230,l10n_bs.state_ba_k_ze,105
city_ba_75270,base.ba,Živinice,75270,l10n_bs.state_ba_k_tz,106
