"code","id","account_type","chart_template_id/id","name","note","reconcile"
"531","bs_fbih_531","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi transportnih usluga",,
"532","bs_fbih_532","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi usluga održavanja",,
"533","bs_fbih_533","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi zakupa",,
"534","bs_fbih_534","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi sajmova",,
"535","bs_fbih_535","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi reklame i sponzorstava",,
"536","bs_fbih_536","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi istraživanja",,
"537","bs_fbih_537","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi razvoja koji se ne kapitalizuju",,
"539","bs_fbih_539","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi ostalih usluga",,
"540","bs_fbih_540","expense_depreciation","l10n_bs.l10n_bs_fbih_chart_template","Amortizacija do visine porezno priznatih rashoda",,
"541","bs_fbih_541","expense_depreciation","l10n_bs.l10n_bs_fbih_chart_template","Amortizacija - privremeno porezno nepriznati rashod",,
"542","bs_fbih_542","expense_depreciation","l10n_bs.l10n_bs_fbih_chart_template","Amortizacija - trajno porezno nepriznati rashod",,
"543","bs_fbih_543","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi rezervisanja iz osnova datih garantnih rokova",,
"544","bs_fbih_544","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi rezervisanja za obnavljanje prirodnih bogatstava",,
"545","bs_fbih_545","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi rezervisanja za zadržane kaucije i depozite",,
"546","bs_fbih_546","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi rezervisanja za restrukturiranje",,
"547","bs_fbih_547","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi rezervisanja za naknade i druge beneficije zaposlenika",,
"548","bs_fbih_548","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi rezervisanja za sudske sporove i štetne ugovore",,
"549","bs_fbih_549","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi ostalih dugoročnih rezervisanja",,
"550","bs_fbih_550","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi neproizvodnih usluga",,
"551","bs_fbih_551","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi reprezentacije",,
"552","bs_fbih_552","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi premija osiguranja",,
"553","bs_fbih_553","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi platnog prometa",,
"554","bs_fbih_554","expense","l10n_bs.l10n_bs_fbih_chart_template","Trošovi poštanskih i telekomunikacionih usluga",,
"555","bs_fbih_555","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi poreza, naknada, taksi i dr. dažbina na teret pravnog lica",,
"556","bs_fbih_556","expense","l10n_bs.l10n_bs_fbih_chart_template","Troškovi članskih doprinosa i sl. obaveza",,
"559","bs_fbih_559","expense","l10n_bs.l10n_bs_fbih_chart_template","Ostali nematerijalni troškovi",,
"560","bs_fbih_560","expense","l10n_bs.l10n_bs_fbih_chart_template","Finansijski rashodi iz odnosa s povezanim pravnim licima",,
"561","bs_fbih_561","expense","l10n_bs.l10n_bs_fbih_chart_template","Rashodi kamata",,
"562","bs_fbih_562","expense","l10n_bs.l10n_bs_fbih_chart_template","Negativne kursne razlike",,
"563","bs_fbih_563","expense","l10n_bs.l10n_bs_fbih_chart_template","Rashodi iz osnova valutne klauzule",,
"569","bs_fbih_569","expense","l10n_bs.l10n_bs_fbih_chart_template","Ostali finansijski rashodi",,
